domain,category,subtype,source,uncertain,citations,note
files.catbox.moe,archive,,manual_2026-09-05,,253,
rentry.org,archive,,manual_2026-09-05,,168,
archive.4plebs.org,archive,,manual_2026-09-05,,117,
archive.today,archive,,manual_2026-09-05,,83,
marinetraffic.com,other,osint,manual_2026-09-05,,81,Traceur AIS commercial (cluster OSINT).
google.com,other,,manual_2026-09-05,,70,"Moteur de recherche : page de resultats, pas une source."
dailymail.com,mainstream,,manual_2026-09-05,,70,
xcancel.com,social_media,,manual_2026-09-05,,69,
archive.ph,archive,,manual_2026-09-05,,66,
archive.is,archive,,manual_2026-09-05,,63,
archive.org,archive,,manual_2026-09-05,,61,
abc.net.au,state_funded,,manual_2026-09-05,,61,"Diffuseur public australien (regle de financement, cf. BBC/PBS)."
pastebin.com,archive,,manual_2026-09-05,,55,
thetrumparchive.com,social_media,,manual_2026-09-05,,49,"Miroir/base de tweets : un lien = un tweet, comme nitter."
oilprice.com,mainstream,,manual_2026-09-05,,49,"Media specialise energie, commercial."
flickr.com,social_media,,manual_2026-09-05,,49,
donaldjtrump.com,other,,manual_2026-09-05,,49,Site de campagne politique (pas de categorie dediee).
vesselfinder.com,other,osint,manual_2026-09-05,,44,Traceur AIS (cluster OSINT).
tzevaadom.co.il,other,osint,manual_2026-09-05,,44,"Carte/alertes roquettes, operateur tiers (cluster OSINT)."
lebanon.liveuamap.com,other,osint,manual_2026-09-05,,44,Carte de guerre en direct (cluster OSINT).
independent.co.uk,mainstream,,manual_2026-09-05,,44,
globe.adsbexchange.com,other,osint,manual_2026-09-05,,44,Traceur ADS-B (cluster OSINT).
flightradar24.com,other,osint,manual_2026-09-05,,44,Traceur ADS-B (cluster OSINT).
flightaware.com,other,osint,manual_2026-09-05,,44,Traceur ADS-B (cluster OSINT).
standard.co.uk,mainstream,,manual_2026-09-05,,40,
itv.com,mainstream,,manual_2026-09-05,,40,"Diffuseur commercial britannique (licence Ofcom), pas public."
i.4cdn.org,social_media,,manual_2026-09-05,,40,CDN d'images de 4chan.
lostarmour.info,other,osint,manual_2026-09-05,,38,"Traceur de pertes materielles, orientation pro-russe (cluster OSINT)."
ukraineviews.org,other,,manual_2026-09-05,yes,37,"INCERTAIN : ressource du cluster cartes/cameras Ukraine, operateur non identifie."
scribblemaps.com,other,,manual_2026-09-05,,37,Outil de cartographie.
opermap.mash.ru,other,,manual_2026-09-05,,37,Carte d'incidents editee par Mash (media Telegram russe) ; fonction = carte.
liveuamap.com,other,osint,manual_2026-09-05,,37,Carte de guerre en direct (cluster OSINT).
greasyfork.org,other,,manual_2026-09-05,,37,Depot de userscripts.
en-gb.topographic-map.com,other,,manual_2026-09-05,,37,Outil cartographique.
divgen.ru,other,,manual_2026-09-05,yes,37,"INCERTAIN : site russe du cluster ressources, non identifie."
deepstatemap.live,other,osint,manual_2026-09-05,,37,Carte de guerre en direct (cluster OSINT).
browser.dataspace.copernicus.eu,other,osint,manual_2026-09-05,,37,Visualiseur satellite de l'UE : operateur institutionnel mais usage = outil OSINT. Reclassable en institutional.
archive.md,archive,,manual_2026-09-05,,37,
arcg.is,other,,manual_2026-09-05,,37,Raccourcisseur ArcGIS (cartes).
alerts.in.ua,other,osint,manual_2026-09-05,,37,Carte d'alertes aeriennes (cluster OSINT).
alertmap.ru,other,osint,manual_2026-09-05,,37,Carte d'alertes (cluster OSINT).
tampermonkey.net,other,,manual_2026-09-05,,36,Outil / extension navigateur.
russiafossiltracker.com,other,,manual_2026-09-05,,36,"Traceur du CREA (ONG de recherche) ; classe en other par fonction, reclassable en institutional."
rz-life.ru,other,,manual_2026-09-05,yes,35,"INCERTAIN : site russe du cluster ressources, non identifie."
web.archive.org,archive,,manual_2026-09-05,,33,
nitter.net,social_media,,manual_2026-09-05,,32,
imgur.com,social_media,,manual_2026-09-05,,30,
write.as,archive,,manual_2026-09-05,,28,
nypost.com,mainstream,,manual_2026-09-05,,28,
executiveconcern.substack.com,alternative,,manual_2026-09-05,,26,Substack d'opinion (regle Substack = alternative).
litter.catbox.moe,archive,,manual_2026-09-05,,24,
pastes.io,archive,,manual_2026-09-05,,22,
nitter.poast.org,social_media,,manual_2026-09-05,,22,
pastejustit.com,archive,,manual_2026-09-05,,21,
streamable.com,social_media,,manual_2026-09-05,,19,
telegraph.co.uk,mainstream,,manual_2026-09-05,,18,
rutracker.org,archive,,manual_2026-09-05,,18,Tracker torrent = partage de fichiers.
mega.nz,archive,,manual_2026-09-05,,18,
amazon.in,other,,manual_2026-09-05,,17,Boutique en ligne.
